time,open,high,low,close,Volume
2023-05-12 12:00:00,134.64,134.69,134.52,134.55,8036.0
2023-05-12 13:00:00,134.55,134.58,134.52,134.57,9368.0
2023-05-12 14:00:00,134.57,134.72,134.57,134.7,10077.0
2023-05-12 15:00:00,134.7,134.85,134.67,134.79,19917.0
2023-05-12 16:00:00,134.79,134.91,134.76,134.86,26374.0
2023-05-12 17:00:00,134.86,134.86,134.7,134.77,17132.0
2023-05-12 18:00:00,134.77,134.79,134.69,134.7,13155.0
2023-05-12 19:00:00,134.7,134.75,134.63,134.66,10384.0
2023-05-12 20:00:00,134.66,134.95,134.66,134.93,11232.0
2023-05-12 21:00:00,134.93,135.05,134.88,134.98,19455.0
2023-05-12 22:00:00,134.98,134.99,134.72,134.79,21008.0
2023-05-12 23:00:00,134.79,135.31,134.72,135.31,37394.0
2023-05-13 00:00:00,135.31,135.65,135.26,135.63,21536.0
2023-05-13 01:00:00,135.63,135.75,135.59,135.66,15099.0
2023-05-13 02:00:00,135.66,135.75,135.63,135.64,11194.0
2023-05-13 03:00:00,135.64,135.72,135.62,135.69,8754.0
2023-05-13 04:00:00,135.69,135.71,135.66,135.7,6038.0
2023-05-13 05:00:00,135.7,135.74,135.67,135.74,3135.0
2023-05-15 06:00:00,135.66,135.73,135.62,135.71,293.0
2023-05-15 07:00:00,135.71,135.83,135.7,135.78,6743.0
2023-05-15 08:00:00,135.78,135.9,135.76,135.82,14993.0
2023-05-15 09:00:00,135.82,136.03,135.75,135.87,17610.0
2023-05-15 10:00:00,135.87,135.9,135.72,135.84,15586.0
2023-05-15 11:00:00,135.84,135.99,135.84,135.97,9511.0
2023-05-15 12:00:00,135.97,136.15,135.96,136.13,9158.0
2023-05-15 13:00:00,136.13,136.24,136.07,136.08,9719.0
2023-05-15 14:00:00,136.08,136.19,136.05,136.19,9505.0
2023-05-15 15:00:00,136.19,136.26,136.05,136.05,15489.0
2023-05-15 16:00:00,136.05,136.05,135.82,135.96,18943.0
2023-05-15 17:00:00,135.96,136.14,135.94,136.11,14733.0
2023-05-15 18:00:00,136.11,136.32,136.1,136.18,11746.0
2023-05-15 19:00:00,136.18,136.32,136.11,136.12,10487.0
2023-05-15 20:00:00,136.12,136.19,136.04,136.14,12342.0
2023-05-15 21:00:00,136.14,136.24,135.71,135.89,25838.0
2023-05-15 22:00:00,135.89,136.18,135.89,136.04,21736.0
2023-05-15 23:00:00,136.04,136.2,136.02,136.14,20272.0
2023-05-16 00:00:00,136.14,136.16,136.01,136.08,12286.0
2023-05-16 01:00:00,136.08,136.12,136.01,136.08,8359.0
2023-05-16 02:00:00,136.08,136.14,136.03,136.08,10168.0
2023-05-16 03:00:00,136.08,136.1,136.01,136.08,8930.0
