time,open,high,low,close,Volume
2020/10/6,105.74,105.78,105.47,105.6,216186
2020/10/7,105.6,106.11,105.6,105.95,191983
2020/10/8,105.95,106.11,105.92,106.02,164610
2020/10/9,106.02,106.04,105.58,105.59,182667
2020/10/12,105.72,105.8,105.24,105.33,181298
2020/10/13,105.33,105.63,105.26,105.47,197466
2020/10/14,105.47,105.52,105.04,105.16,165565
2020/10/15,105.16,105.49,105.05,105.42,191677
2020/10/16,105.42,105.44,105.19,105.38,194805
2020/10/19,105.37,105.5,105.3,105.43,172613
2020/10/20,105.43,105.75,105.32,105.49,184512
2020/10/21,105.49,105.53,104.34,104.59,192971
2020/10/22,104.59,104.92,104.48,104.83,143351
2020/10/23,104.83,104.94,104.55,104.68,146552
2020/10/26,104.66,105.06,104.65,104.83,161687
2020/10/27,104.83,104.89,104.39,104.41,135467
2020/10/28,104.41,104.56,104.11,104.32,179975
2020/10/29,104.32,104.73,104.03,104.57,199557
2020/10/30,104.57,104.74,104.12,104.65,231977
2020/11/2,104.5,104.95,104.49,104.67,181637
2020/11/3,104.67,104.8,104.42,104.42,256842
2020/11/4,104.42,105.35,104.15,104.49,480587
2020/11/5,104.49,104.54,103.44,103.45,308264
2020/11/6,103.45,103.76,103.18,103.34,332082
2020/11/9,103.31,105.65,103.19,105.36,405467
2020/11/10,105.36,105.49,104.82,105.26,297558
2020/11/11,105.26,105.68,105.01,105.43,203918
2020/11/12,105.43,105.48,105.07,105.13,201159
2020/11/13,105.13,105.15,104.56,104.56,212282
2020/11/16,104.71,105.14,104.36,104.57,222225
2020/11/17,104.57,104.6,104.07,104.18,189463
2020/11/18,104.18,104.2,103.65,103.8,186380
2020/11/19,103.8,104.22,103.72,103.74,201615
2020/11/20,103.74,103.91,103.7,103.82,162825
2020/11/23,103.73,104.64,103.68,104.44,218699
2020/11/24,104.44,104.76,104.15,104.42,212670
2020/11/25,104.42,104.6,104.26,104.43,207735
2020/11/26,104.43,104.47,104.21,104.23,185966
2020/11/27,104.23,104.28,103.91,104.04,136014
2020/11/30,104.01,104.41,103.83,104.3,203118
2020/12/1,104.3,104.58,104.18,104.28,189166
2020/12/2,104.28,104.75,104.22,104.4,227271
2020/12/3,104.4,104.54,103.67,103.83,214184
2020/12/4,103.83,104.25,103.74,104.17,225963
2020/12/7,104.03,104.31,103.92,104.05,229935
2020/12/8,104.05,104.21,103.95,104.14,218736
