time,open,high,low,close,Volume
2015/4/20,118.98,120.09,118.53,118.93,805750
2015/4/27,118.84,120.29,118.5,120.17,813239
2015/5/4,120.24,120.51,119.06,119.77,743866
2015/5/11,119.64,120.28,118.89,119.36,706309
2015/5/18,119.26,121.57,119.21,121.5,817438
2015/5/25,121.5,124.46,121.44,124.11,973231
2015/6/1,124.07,125.86,123.75,125.58,1047770
2015/6/8,125.57,125.68,122.46,123.35,1167796
2015/6/15,123.2,124.45,122.48,122.63,929861
2015/6/22,122.95,124.38,122.56,123.81,808822
2015/6/29,122.73,123.72,121.94,122.8,1176125
2015/7/6,121.88,122.93,120.41,122.79,1386279
2015/7/13,122.19,124.23,122.17,124.05,950990
2015/7/20,124.02,124.48,123.57,123.77,801835
2015/7/27,123.74,124.58,123.01,123.84,979605
2015/8/3,123.85,125.07,123.8,124.2,891605
2015/8/10,124.12,125.28,123.79,124.31,984110
2015/8/17,124.23,124.57,121.81,122.02,1009190
2015/8/24,121.89,122.02,116.08,121.7,2567892
2015/8/31,121.64,121.64,118.59,119.03,1750559
2015/9/7,118.92,121.33,118.8,120.57,1540412
2015/9/14,120.49,120.99,119.05,119.95,1414349
2015/9/21,120.1,121.24,119.22,120.54,1568659
2015/9/28,120.51,120.6,118.68,119.88,1651416
2015/10/5,119.98,120.57,119.63,120.19,1251333
2015/10/12,120.17,120.26,118.06,119.41,993686
2015/10/19,119.35,121.48,119.14,121.42,1121376
2015/10/26,121.41,121.5,120.01,120.58,1328111
2015/11/2,120.35,123.27,120.26,123.12,1008501
2015/11/9,123.25,123.61,122.44,122.58,936317
2015/11/16,122.24,123.76,122.22,122.75,907149
2015/11/23,122.86,123.26,122.26,122.81,724958
2015/11/30,122.81,123.67,122.3,123.09,1010766
2015/12/7,123.16,123.48,120.58,120.93,1188363
2015/12/14,121.17,123.57,120.34,121.1,1513171
2015/12/21,121.15,121.5,120.25,120.27,626252
2015/12/28,120.25,120.65,120,120.19,443144
2016/1/4,120.18,120.47,117.2,117.2,1756285
